sample_size,power,mcse,method,lower,upper,p_value_power,p_value_mcse,p_value_upper,p_value_lower
80,0.0538,0.0031907854832313627,GLM_Gamma,0.0475461753704733,0.0600538246295267,0.0512,0.0031170036894427955,0.05730921497098635,0.045090785029013654
80,0.049800000000000004,0.0030763601869742106,GLM_Gaussian,0.043770444830057646,0.05582955516994236,0.046,0.002962566454950842,0.051806523553510155,0.040193476446489844
80,0.048600000000000004,0.0030409879973455995,Log_LR,0.042639773047784046,0.05456022695221596,0.045,0.0029317230428538097,0.05074607157663964,0.039253928423360354
80,0.0538,0.0031907854832313627,LR,0.0475461753704733,0.0600538246295267,0.0508,0.0031054584202658392,0.05688658665920769,0.044713413340792305
80,0.053200000000000004,0.003173948959892077,OLR,0.04697917434984317,0.05942082565015684,0.0532,0.003173948959892077,0.05942082565015683,0.04697917434984317
85,0.053200000000000004,0.003173948959892077,GLM_Gamma,0.04697917434984317,0.05942082565015684,0.0502,0.003088040155179333,0.05625244748696497,0.04414755251303503
85,0.0502,0.003088040155179333,GLM_Gaussian,0.04414755251303503,0.05625244748696497,0.047,0.002993025225419926,0.05286622164664293,0.04113377835335707
85,0.054,0.003196372944448129,Log_LR,0.047735224147723423,0.060264775852276575,0.0496,0.0030704996336101396,0.055618068696419304,0.04358193130358069
85,0.055600000000000004,0.0032406369744233925,LR,0.04924846824316131,0.0619515317568387,0.0506,0.0030996657884359083,0.05667523330944533,0.04452476669055467
85,0.0526,0.003156999841621789,OLR,0.046412394011222644,0.05878760598877736,0.0526,0.003156999841621789,0.05878760598877736,0.046412394011222644
90,0.056600000000000004,0.003267917991627085,GLM_Gamma,0.050194998431980456,0.06300500156801955,0.0536,0.003185185708871619,0.05984284927346006,0.04735715072653995
90,0.0524,0.003151324800778238,GLM_Gaussian,0.04622351688688679,0.05857648311311321,0.049,0.0030528347482299137,0.05498344615728303,0.04301655384271697
90,0.054400000000000004,0.003207511184703804,Log_LR,0.04811339359797115,0.06068660640202886,0.051,0.003111237695837462,0.0570979138311848,0.04490208616881519
90,0.0582,0.003310974478911005,LR,0.05171060926760316,0.06468939073239684,0.0544,0.0032075111847038036,0.06068660640202885,0.04811339359797114
90,0.055,0.0032241277890307017,OLR,0.04868082565194507,0.06131917434805493,0.055,0.0032241277890307017,0.06131917434805493,0.04868082565194507
95,0.0502,0.003088040155179333,GLM_Gamma,0.04414755251303503,0.05625244748696497,0.0474,0.0030051036587778464,0.05328989494101412,0.04151010505898588
